,Unnamed: 0,model_type,preprocessing_type,accuracy,strength
1,0,neural_net,balanced_beta,0.4708589017391205,0.9567009285647539
2,0,neural_net,beta,0.6794478297233582,0.8847710236397079
3,0,neural_net,normal,0.6717791557312012,0.9584458223978678
4,0,neural_net,normal2,0.5644171833992004,1.030582596933035
5,0,neural_net,beta2,0.6303681135177612,1.0076290954299059
6,0,neural_net,beta3,0.6641104221343994,0.8847509915294172
7,0,neural_net,recombine_balance,0.4677914083003998,0.9459868970222043
8,0,ada,depth,0.6625766871165644,1.0647506001600426
9,0,ada,depth6,0.6825153374233128,1.0608937158016913
10,0,neuralnet,norm4,0.6733129024505615,0.7894954750646694
11,0,neuralnet,topbeta,0.625,1.025
12,0,neuralnet,topbeta,0.3571428656578064,0.7364532104853926
13,0,neuralnet,topbeta,0.7055214643478394,0.773482629396383
14,0,neuralnet,topbeta,0.6947852969169617,
15,0,neuralnet,topbeta,0.6012269854545593,0.9993751336027075
16,0,neuralnet,normal_features9,0.5797545909881592,1.004124338887319
17,0,neuralnet,normal_features30,0.6134969592094421,1.0018464737725488
18,0,neuralnet,normal_features5,0.5950919985771179,0.9895874114211547
19,0,neuralnet,normal_quarterly,0.6257668733596802,0.9802642278570346
