name,model_type,metric_type,metric_value,train_time
1_DecisionTree,Decision Tree,logloss,0.5455552027273375,1.68
2_DecisionTree,Decision Tree,logloss,0.5708082903148226,0.74
3_DecisionTree,Decision Tree,logloss,0.5318307152296083,0.77
4_Linear,Linear,logloss,0.606570332595208,3.27
5_Default_LightGBM,LightGBM,logloss,0.5417477568658774,1.66
6_Default_Xgboost,Xgboost,logloss,0.5370535291477118,2.19
7_Default_CatBoost,CatBoost,logloss,0.542429681369379,2.37
8_Default_NeuralNetwork,Neural Network,logloss,0.5859966232543916,1.28
9_Default_RandomForest,Random Forest,logloss,0.5365997755991895,5.88
10_Default_ExtraTrees,Extra Trees,logloss,0.5915408523016894,2.2
11_Default_NearestNeighbors,Nearest Neighbors,logloss,1.0657197053567373,0.95
21_LightGBM,LightGBM,logloss,0.5319054780159312,0.96
12_Xgboost,Xgboost,logloss,0.5433572030133814,2.05
30_CatBoost,CatBoost,logloss,0.5428423638341354,3.79
39_RandomForest,Random Forest,logloss,0.533645721689843,3.05
48_ExtraTrees,Extra Trees,logloss,0.5996449255052628,1.41
57_NeuralNetwork,Neural Network,logloss,0.5940650219240026,1.27
66_NearestNeighbors,Nearest Neighbors,logloss,0.8289898121185505,0.95
22_LightGBM,LightGBM,logloss,0.5624453280774363,1.06
13_Xgboost,Xgboost,logloss,0.5437321051441389,2.25
31_CatBoost,CatBoost,logloss,0.5463905925062876,2.82
40_RandomForest,Random Forest,logloss,0.5331134883740039,3.99
49_ExtraTrees,Extra Trees,logloss,0.5662368205338297,1.39
58_NeuralNetwork,Neural Network,logloss,0.5941519635242799,1.32
67_NearestNeighbors,Nearest Neighbors,logloss,0.8370106608806319,0.88
23_LightGBM,LightGBM,logloss,0.5623395228103746,1.16
14_Xgboost,Xgboost,logloss,0.5391702085851167,1.19
32_CatBoost,CatBoost,logloss,0.5455216808109091,2.24
41_RandomForest,Random Forest,logloss,0.5396921398090762,2.17
50_ExtraTrees,Extra Trees,logloss,0.5941508167277358,1.3
59_NeuralNetwork,Neural Network,logloss,0.6217373919306524,0.93
68_NearestNeighbors,Nearest Neighbors,logloss,0.8370106608806319,0.96
24_LightGBM,LightGBM,logloss,0.5583559338845703,0.89
15_Xgboost,Xgboost,logloss,0.5385413677204165,5.22
33_CatBoost,CatBoost,logloss,0.5405824784500254,2.96
42_RandomForest,Random Forest,logloss,0.534153269956419,2.64
51_ExtraTrees,Extra Trees,logloss,0.5802259271699566,1.68
60_NeuralNetwork,Neural Network,logloss,0.5734002047097736,1.29
69_NearestNeighbors,Nearest Neighbors,logloss,0.8289898121185505,0.89
25_LightGBM,LightGBM,logloss,0.5502216958541631,0.94
16_Xgboost,Xgboost,logloss,0.5418177488843385,1.41
34_CatBoost,CatBoost,logloss,0.537922607547701,2.21
43_RandomForest,Random Forest,logloss,0.5391198199957692,7.38
52_ExtraTrees,Extra Trees,logloss,0.6018387572156958,2.23
3_DecisionTree_GoldenFeatures,Decision Tree,logloss,0.6929346560403733,10.23
3_DecisionTree_KMeansFeatures,Decision Tree,logloss,0.5316183882844324,1.62
21_LightGBM_KMeansFeatures,LightGBM,logloss,0.5281137681401799,1.46
40_RandomForest_KMeansFeatures,Random Forest,logloss,0.5283886245903026,4.01
21_LightGBM_KMeansFeatures_RandomFeature,LightGBM,logloss,0.5358792544027959,27.76
70_LightGBM,LightGBM,logloss,0.5319104905872867,1.77
71_LightGBM,LightGBM,logloss,0.5376470081288754,1.48
72_RandomForest,Random Forest,logloss,0.5339266011852967,6.49
73_DecisionTree,Decision Tree,logloss,0.5350908123377546,1.3
74_DecisionTree,Decision Tree,logloss,0.5358504098351021,0.77
75_LightGBM,LightGBM,logloss,0.5351209092248276,1.07
76_LightGBM,LightGBM,logloss,0.5378546283463816,0.98
77_RandomForest,Random Forest,logloss,0.5346072757593258,3.86
Ensemble,Ensemble,logloss,0.5225699721591027,13.43
